train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.78399998	0.5714286	0.917048	0.77232143	0.39111155	0.54174852	0.13654801	-1.0	-1.0	-1.0	-1.0	5.69912195	26.0	0.0	1.0
0.61199999	0.5714286	0.847792	0.74043367	0.48174009	0.55482274	0.0	-1.0	-1.0	-1.0	-1.0	10.87009001	8.0	1.0	1.0
0.71200001	0.5714286	0.895944	0.75510204	0.42132744	0.54741377	0.0	-1.0	-1.0	-1.0	-1.0	17.03855538	18.0	2.0	1.0
0.62	0.5714286	0.852224	0.70727041	0.47669134	0.57294017	0.0	-1.0	-1.0	-1.0	-1.0	22.17867589	8.0	3.0	1.0
0.796	0.71428573	0.939744	0.79783163	0.3555418	0.50705928	0.4528785	-1.0	-1.0	-1.0	-1.0	27.92209649	35.0	4.0	1.0
0.80000001	0.5714286	0.936368	0.82716837	0.360461	0.46709916	0.08064778	-1.0	-1.0	-1.0	-1.0	35.12086463	35.0	5.0	1.0
0.77600002	0.60714287	0.918064	0.78954082	0.39157283	0.50986546	0.13025792	-1.0	-1.0	-1.0	-1.0	40.87525845	26.0	6.0	1.0
0.60799998	0.60714287	0.845584	0.74681122	0.48326442	0.54386413	0.0	-1.0	-1.0	-1.0	-1.0	45.31923795	8.0	7.0	1.0
0.73306775	0.55555558	0.89270805	0.77846365	0.42845401	0.52718365	-0.18665131	-1.0	-1.0	-1.0	-1.0	51.53212857	17.0	8.0	1.0
0.61354584	0.5925926	0.84510563	0.7866941	0.48480803	0.50825924	0.0	-1.0	-1.0	-1.0	-1.0	57.09085274	8.0	9.0	1.0
