train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.77200001	0.5714286	0.911	0.76913265	0.39906076	0.54266441	0.13654801	-1.0	-1.0	-1.0	-1.0	7.79658818	25.0	0.0	1.0
0.62800002	0.5714286	0.855	0.73788265	0.47003159	0.55501312	0.0	-1.0	-1.0	-1.0	-1.0	14.60399866	10.0	1.0	1.0
0.71200001	0.5714286	0.896296	0.75382653	0.42023093	0.54399651	0.0	-1.0	-1.0	-1.0	-1.0	21.01973057	19.0	2.0	1.0
0.62400001	0.5714286	0.849856	0.71109694	0.4786582	0.57113552	0.0	-1.0	-1.0	-1.0	-1.0	27.9352982	8.0	3.0	1.0
0.792	0.6785714	0.932592	0.79528061	0.36684877	0.5113979	0.37492637	-1.0	-1.0	-1.0	-1.0	34.88355708	33.0	4.0	1.0
0.75999999	0.5714286	0.916032	0.82142857	0.39295292	0.4773255	0.08064778	-1.0	-1.0	-1.0	-1.0	42.33663321	27.0	5.0	1.0
0.78799999	0.60714287	0.93168	0.79846939	0.36858818	0.5048582	0.13025792	-1.0	-1.0	-1.0	-1.0	50.43527746	34.0	6.0	1.0
0.60799998	0.60714287	0.843856	0.74681122	0.48464811	0.54439908	0.0	-1.0	-1.0	-1.0	-1.0	56.13724017	8.0	7.0	1.0
0.73306775	0.51851851	0.89294614	0.77983539	0.42677176	0.52465427	-0.23331413	-1.0	-1.0	-1.0	-1.0	63.30633545	18.0	8.0	1.0
0.60956174	0.5925926	0.84305011	0.78395062	0.48627019	0.50942957	0.0	-1.0	-1.0	-1.0	-1.0	69.30985022	8.0	9.0	1.0
